case,family,mode,repeat,input_crossings,output_crossings,reduction_crossings,reduction_percent,time_seconds,return_code,timed_out,simplification_found,tested_red_paths,tested_green_paths,mid_simplification_rounds,heuristic_failover_rounds,last_path_search_mode
zip_random_01,zip random sample,heuristic,1,142,3,139,97.88732394366197,5.281610900070518,0,False,True,223,10839,26,0,bruteforce
zip_random_01,zip random sample,bruteforce,1,142,7,135,95.07042253521126,4.982296600006521,0,False,True,342,32712,25,0,bruteforce
zip_random_02,zip random sample,heuristic,1,144,3,141,97.91666666666667,1.4391032001003623,0,False,True,156,2684,25,0,bruteforce
zip_random_02,zip random sample,bruteforce,1,144,7,137,95.13888888888889,26.86073509999551,0,False,True,385,55351,24,0,bruteforce
zip_random_03,zip random sample,heuristic,1,120,71,49,40.833333333333336,511.6796227998566,0,False,True,2329,8652759,3,0,bruteforce
zip_random_03,zip random sample,bruteforce,1,120,71,49,40.833333333333336,224.4065016999375,0,False,True,1104,5334532,3,0,bruteforce
zip_random_04,zip random sample,heuristic,1,135,3,132,97.77777777777777,16.24504780001007,0,False,True,232,29542,20,0,bruteforce
zip_random_04,zip random sample,bruteforce,1,135,3,132,97.77777777777777,256.6134587000124,0,False,True,322,1150382,20,0,bruteforce
zip_random_05,zip random sample,heuristic,1,123,3,120,97.5609756097561,1.3840114001650363,0,False,True,166,2969,20,0,bruteforce
zip_random_05,zip random sample,bruteforce,1,123,3,120,97.5609756097561,1.5177921999711543,0,False,True,414,23849,18,0,bruteforce
